unix,date,symbol,open,high,low,close,Volume USD,Volume BTC,next close,awesomeOscillator,percentageOscillator,momentumStochRSI,ultimateOscillator,avgTrueRange,mAVG,ADX,MACD,weightedAVG,close_copy
1526371200,2018-05-15 09:00:00,BTC/USD,8739.0,8796.68,8660.53,8728.49,7986062.84,917.79,8795.9,0.0,0.0,0.0,50.0,0.0,8728.49,0.0,0.0,0.0,8728.49
1526378400,2018-05-15 11:00:00,BTC/USD,8708.32,8865.0,8695.11,8795.9,11101273.74,1260.69,8759.23,0.0,0.0615726359368079,0.0,49.3809977291039,0.0,8762.195,0.0,5.377435897435134,0.0,8795.9
1526389200,2018-05-15 14:00:00,BTC/USD,8760.0,8821.19,8700.0,8759.23,6380081.87,730.67,8517.77,0.0,0.0756005494994853,0.0,18.9987639060566,0.0,8761.206666666667,0.0,6.604003214259137,0.0,8759.23
1526392800,2018-05-15 15:00:00,BTC/USD,8759.23,8761.7,8467.42,8517.77,11484106.74,1341.75,8535.23,0.0,-0.1350117160785681,0.0,-128.27661776343606,0.0,8700.3475,0.0,-11.772036673861294,0.0,8517.77
1526400000,2018-05-15 17:00:00,BTC/USD,8520.3,8589.1,8477.89,8535.23,3298228.22,385.69,8526.65,0.0,-0.2830607547024364,0.0,-82.02886247877692,0.0,8667.323999999999,0.0,-24.642244145479708,0.0,8535.23
1526407200,2018-05-15 19:00:00,BTC/USD,8546.34,8579.48,8400.0,8526.65,7443239.63,877.26,8512.1,-12.230999999999767,-0.4041397558224975,0.0,-72.12435233160572,0.0,8643.878333333332,0.0,-35.1293611771398,0.0,8526.65
1526414400,2018-05-15 21:00:00,BTC/USD,8555.6,8583.6,8451.05,8512.1,5192991.59,610.97,8326.28,-46.80742857143014,-0.5081919955852965,0.0,-64.24881235154321,0.0,8625.052857142857,0.0,-44.10611257029814,0.0,8512.1
1526432400,2018-05-16 02:00:00,BTC/USD,8455.92,8557.51,8275.02,8326.28,8931481.69,1070.93,8133.43,-80.00450000000092,-0.7565073346164489,0.0,-105.23272546505748,0.0,8587.70625,0.0,-65.45979400288343,0.0,8326.28
1526436000,2018-05-16 03:00:00,BTC/USD,8326.28,8339.81,8100.01,8133.43,13978603.77,1710.2,8220.4,-124.9966666666678,-1.1240220827583844,0.0,-210.47302027096225,0.0,8537.231111111112,0.0,-96.82795131897728,8442.242666666667,8133.43
1526446800,2018-05-16 06:00:00,BTC/USD,8229.38,8252.72,8122.56,8220.4,5090356.15,620.93,8207.48,-152.0550000000003,-1.320441074846473,0.0,-129.44745582331106,0.0,8505.547999999999,0.0,-113.36291273393545,8378.876444444444,8220.4
1526457600,2018-05-16 09:00:00,BTC/USD,8232.99,8267.12,8176.91,8207.48,3710007.82,450.97,8373.0,-182.93072727272735,-1.4730951751658763,0.0,-84.35717302046962,0.0,8478.450909090909,0.0,-126.05642480851566,8324.217111111111,8207.48
1526468400,2018-05-16 12:00:00,BTC/USD,8371.13,8455.66,8207.48,8373.0,2680259.87,319.29,8179.99,-197.90016666666637,-1.4204908176724298,0.0,-34.951664168010275,0.0,8469.663333333332,0.0,-121.36106902867324,8315.737777777778,8373.0
1526475600,2018-05-16 14:00:00,BTC/USD,8365.08,8399.1,8145.1,8179.99,8614269.8,1046.38,8273.4,-216.2464615384597,-1.546334375016811,0.0,-63.734007212173374,0.0,8447.38076923077,0.0,-131.69614847149205,8277.239333333333,8179.99
1526486400,2018-05-16 17:00:00,BTC/USD,8285.8,8377.29,8173.6,8273.4,2665411.47,322.53,8279.89,-195.76200000000065,-1.5395522324234876,0.3065841221391784,-38.45755031532719,73.80928571428596,8434.953571428572,0.0,-130.8411121549343,8264.92911111111,8273.4
1526493600,2018-05-16 19:00:00,BTC/USD,8297.4,8350.0,8250.9,8279.89,1973143.22,237.21,8346.59,-163.23000000000138,-1.5109140769105598,0.3117898857795376,-20.964243988933912,74.00862244897985,8424.616,0.0,-128.16242430401508,8259.735333333334,8279.89
1526511600,2018-05-17 00:00:00,BTC/USD,8277.25,8398.24,8232.14,8346.59,1784063.07,214.18,8366.72,-128.57949999999985,-1.4078972211447411,0.6112455000209802,-1.569500788851372,77.17586370262417,8419.739375,0.0,-119.28239907262105,8273.36511111111,8346.59
1526526000,2018-05-17 04:00:00,BTC/USD,8368.62,8500.0,8314.77,8366.72,6048203.82,718.98,8247.4,-118.26223529411618,-1.2919755772085726,1.0,-3.2860041689539763,82.62115915243672,8416.620588235293,0.0,-109.35995880218434,8294.698888888888,8366.72
1526540400,2018-05-17 08:00:00,BTC/USD,8344.16,8382.41,8191.14,8247.4,5919821.52,714.82,8269.47,-113.77922222222332,-1.3003317101314378,0.8329148047496847,-8.452969957386301,77.84036207011984,8407.219444444445,0.0,-109.85810435893836,8291.27,8247.4
1526558400,2018-05-17 13:00:00,BTC/USD,8298.9,8335.56,8219.44,8269.47,7337732.27,886.82,8257.69,-112.66168421052862,-1.2712889558778446,0.8798104713656876,-19.245508673667683,78.57747906511126,8399.96947368421,0.0,-107.23587532951387,8289.722444444444,8269.47
1526576400,2018-05-17 18:00:00,BTC/USD,8276.43,8377.29,8232.14,8257.69,2107306.11,255.27,8080.0,-100.77299999999924,-1.2455276709990148,0.8632284102510647,-4.208796622413829,80.66623056046056,8392.8555,0.0,-104.89907622863213,8284.728444444445,8257.69
1526594400,2018-05-17 23:00:00,BTC/USD,8155.41,8274.83,7980.0,8080.0,8543296.28,1061.54,7998.5,-114.75771428571534,-1.3820575373761308,0.6491891922894705,-34.5927499183449,76.12864266328477,8360.431,0.0,-116.04752050881144,8243.080666666667,8080.0
1526608800,2018-05-18 03:00:00,BTC/USD,7974.25,8108.28,7929.53,7998.5,3524532.06,441.43,7965.67,-175.8064545454563,-1.553215382446818,0.5713592604632243,-44.220989919318505,72.71088247305012,8320.560999999998,0.0,-129.9610022609868,8191.643999999999,7998.5
1526623200,2018-05-18 07:00:00,BTC/USD,8042.97,8104.69,7953.4,7965.67,2062118.35,257.56,8115.0,-215.40304347825983,-1.703149864501019,0.3163747345811942,-51.925052926944325,75.10224801068937,8280.883,0.0,-141.99975859376354,8137.674444444445,7965.67
1526641200,2018-05-18 12:00:00,BTC/USD,8137.73,8170.71,7965.67,8115.0,3021026.92,372.97,8126.99,-236.5054166666669,-1.657267825749488,0.7886937857230973,-31.9026796152154,84.38351600992584,8260.7445,0.0,-137.90123710412809,8120.409333333334,8115.0
1526659200,2018-05-18 17:00:00,BTC/USD,8117.09,8152.04,8043.96,8126.99,2360327.48,290.69,8219.9,-269.8904000000002,-1.5910445962227138,0.7409356753597718,-17.606436082135357,81.00183629493112,8240.3325,0.0,-132.16215346291574,8109.206444444445,8126.99
1526680800,2018-05-18 23:00:00,BTC/USD,8235.0,8275.1,8088.46,8219.9,593782.25,72.14,8170.07,-263.80176923077033,-1.4306634072940294,1.0,-11.063949010492603,85.79527655957894,8224.994999999999,0.0,-118.74797507207404,8121.465555555556,8219.9
1526713200,2018-05-19 08:00:00,BTC/USD,8214.9,8273.36,8141.08,8170.07,1635561.11,200.05,8303.99,-225.13370370370285,-1.337183816482334,0.8647795710634235,-12.265713812458404,83.4856139481805,8207.8935,0.0,-110.86008060549284,8127.021333333333,8170.07
1526734800,2018-05-19 14:00:00,BTC/USD,8348.65,8395.0,8146.1,8303.99,2396164.65,288.04,8198.89,-166.1676428571409,-1.1184105623462677,1.0,14.05915249613422,93.58878438045336,8206.779,32.72483697837786,-92.7336666432966,8161.079555555555,8303.99
1526774400,2018-05-20 01:00:00,BTC/USD,8231.2,8331.0,8178.0,8198.89,1142083.49,139.32,8336.6,-131.06103448276008,-1.036360663243033,0.7781807642665172,9.442562737184089,88.8331569247067,8210.052,31.32220918981011,-85.85931192484168,8173.350666666667,8198.89
1526810400,2018-05-20 11:00:00,BTC/USD,8350.62,8374.94,8170.71,8336.6,2405941.52,288.1,8312.09,-85.10033333333195,-0.8265576591778866,1.0,21.466156784437818,95.06293143008487,8215.862,29.65617508329758,-68.50955467334643,8214.470444444443,8336.6
1526821200,2018-05-20 14:00:00,BTC/USD,8311.21,8360.45,8269.85,8312.09,4091819.61,493.59,8481.11,-66.27129032258017,-0.6765862391164829,0.9507228254008764,12.494445590915456,89.97629347079312,8221.0925,28.21253950947389,-56.09091802703733,8244.986,8312.09
1526832000,2018-05-20 17:00:00,BTC/USD,8377.2,8549.0,8311.16,8481.11,7638432.56,901.75,8488.99,-15.386375000000044,-0.3882141269011249,1.0,27.0470394909552,100.47155822287932,8226.498,26.934951656531734,-32.238927286744,8302.336888888889,8481.11
1526860800,2018-05-21 01:00:00,BTC/USD,8518.48,8590.0,8450.0,8488.99,2270996.22,267.32,8524.22,18.38527272727333,-0.1509417395010784,1.0,22.005880693748686,101.07287549267362,8241.948,26.008593468852787,-12.555470982675615,8349.809555555556,8488.99
1526886000,2018-05-21 08:00:00,BTC/USD,8551.1,8589.1,8434.47,8524.22,2625385.12,307.2,8499.84,65.11094117647008,0.0698336957806856,1.0,27.630230678959386,101.0040986717684,8254.489,25.14060064853848,5.8194930274348735,8396.017333333333,8524.22
1526904000,2018-05-21 13:00:00,BTC/USD,8467.13,8536.92,8440.4,8499.84,2215455.32,260.85,8407.09,105.14694117647196,0.2181325534737851,0.9541129193174552,24.320410533494176,94.6966630523564,8265.4865,23.87535531015531,18.20467003789417,8428.521777777778,8499.84
1526911200,2018-05-21 15:00:00,BTC/USD,8490.42,8510.0,8358.17,8407.09,9332733.78,1109.45,8373.01,145.4981176470592,0.2431287763372813,0.7878150561207823,26.154644555707883,88.65832997718807,8268.5115,22.467060425353623,20.301835273576216,8436.255333333333,8407.09
1526929200,2018-05-21 20:00:00,BTC/USD,8350.0,8427.29,8320.0,8373.01,833402.27,99.57,8280.24,132.74141176470584,0.2274316178868272,0.5923353200630803,13.715487204419905,83.76844926453182,8268.826000000001,21.245555164583315,18.99492102491058,8431.905777777778,8373.01
1526950800,2018-05-22 02:00:00,BTC/USD,8367.36,8455.0,8252.72,8280.24,3599986.96,433.28,8320.16,114.76200000000064,0.1240510282580633,0.3451745163062317,0.8721742638590457,83.6414171742081,8270.467999999999,19.870911270993624,10.354063183078324,8407.468444444445,8280.24
1526972400,2018-05-22 08:00:00,BTC/USD,8317.02,8355.97,8261.52,8320.16,893167.95,107.43,8200.0,74.9927647058812,0.0796997066955332,0.3411672935254725,-17.60829682984321,83.07631594747893,8273.0025,19.36075861793416,6.6506667180183285,8389.207333333334,8320.16
1526986800,2018-05-22 12:00:00,BTC/USD,8264.98,8325.6,8180.0,8200.0,6677263.92,812.96,8170.0,40.195823529413246,-0.0709395326204786,0.005234978874815,-55.39496238217368,77.53086480837332,8270.118,19.10455862424925,-5.912058908088511,8347.279555555555,8200.0
1526990400,2018-05-22 13:00:00,BTC/USD,8200.0,8200.0,8119.38,8170.0,12590344.3,1542.87,8200.01,-10.52182352941054,-0.2172660292899892,0.0,-98.21305810037556,71.99294589348952,8274.618,19.675857436237443,-18.080438713066545,8301.842666666667,8170.0
